BLOCKGR GISJOIN Adopted Week
48291402.00: G48002901402 1 424
49519924.00: G49005109924 1 529
48291313.00: G48002901313 1 424
48291404.00: G48002901404 1 424
48130136.01: G4801130013610 1 200
49351022.00: G49003501022 1 153
49111254.00: G4900110125402 1 372
48830111.09: G4801830011198 1 424
36550148.00: G3600550014802 1 240
06290031.00: G0600290003103 1 289
36550137.00: G3600550013702 1 281
36550148.00: G3600550014804 1 240
36550136.00: G3600550013601 1 281
36610221.00: G3600610022102 1 464
48130192.00: G4801130019208 1 200
06014363.00: G06000104363 1 372
19530104.00: G1901530010403 1 424
48130017.00: G4801130001701 1 99
49139911.00: G49001309911 0 842
36595185.00: G3600590518502 1 424
35010002.00: G3500010000207 1 240
35010004.00: G35000100004 1 240
48570701.02: G4801570070122 1 633
49572019.00: G49005702019 1 473
36594078.00: G3600590407801 1 341
49572009.00: G49005702009 1 473
49050013.00: G49000500013 0 842
48130020.00: G48011300020 1 99
49490015.00: G4900490001501 1 99
48291405.00: G48002901405 1 424
48130111.00: G4801130011103 1 325
48291109.00: G48002901109 1 424
48010240.00: G4802010024003 1 633
48291110.00: G48002901110 1 424
48130134.00: G4801130013401 1 200
48130134.00: G4801130013402 1 200
36070141.00: G36000700141 1 372
48130072.00: G4801130007202 1 153
34258017.00: G34002508017 1 372
48550019.00: G4803550001901 1 99
48291520.00: G48002901520 1 424
55790003.00: G55007900003 0 842
36593021.00: G3600590302102 1 341
37570616.00: G37005700616 1 633
36339501.00: G36003309501 0 842
17317005.00: G17003107005 0 842
34258019.00: G34002508019 1 325
36594078.00: G3600590407802 1 341
55870111.00: G5500870011102 1 153
48130076.00: G4801130007602 1 99
49419751.00: G49004109751 0 842
12050149.09: G1201050014998 1 464
55839913.00: G55008309913 0 842
48010347.00: G4802010034704 1 289
48130076.00: G4801130007603 1 99
26635797.00: G26016305797 1 153
48410132.00: G48044100132 1 165
53330064.00: G53003300064 1 240
06670091.00: G0600670009104 1 153
08119726.00: G08011109726 0 842
06670080.00: G0600670008006 1 99
35350002.00: G35003500002 1 240
34170163.00: G34001700163 1 325
06670080.00: G0600670008009 1 99
25251106.00: G2500250110602 1 200
48391136.01: G4804390113615 1 153
39351245.00: G39003501245 1 424
17317505.00: G17003107505 1 530
48150206.00: G48021500206 1 424
49572101.00: G49005702101 0 842
35339552.00: G35003309552 0 842
48391140.00: G4804390114004 1 301
34170166.00: G34001700166 1 325
32310007.00: G32003100007 1 372
48010506.00: G4802010050601 1 153
04190001.00: G04001900001 1 99
55939603.00: G55009309603 1 473
48150207.00: G4802150020703 1 424
48150204.00: G4802150020401 1 529
06790117.00: G06007900117 1 581
47570077.00: G47015700077 1 424
42010132.00: G42010100132 1 289
12030254.00: G1201030025408 1 247
18190502.00: G18001900502 1 473
34373745.00: G34003703745 1 529
06014080.00: G06000104080 1 372
06014412.00: G06000104412 1 372
26635838.00: G26016305838 1 99
27459602.00: G27004509602 0 842
38899636.00: G38008909636 0 842
24338022.00: G2400330802201 1 153
48030004.00: G4803030000403 1 2
48450009.00: G48024500009 1 341
48030007.00: G48030300007 1 99
48030006.00: G4803030000604 1 99
48530024.01: G4804530002413 1 99
48291805.00: G4800290180501 1 424
48291803.00: G48002901803 1 424
48291804.00: G48002901804 1 424
48130137.00: G4801130013701 1 153
17311904.00: G17003101904 1 341
48530024.01: G4804530002414 1 200
48391132.00: G4804390113207 1 240
17919553.00: G17019109553 0 842
48450006.00: G48024500006 1 464
42035614.00: G42000305614 1 99
48130137.00: G4801130013705 1 200
48130192.00: G4801130019209 1 99
42010106.00: G42010100106 1 240
48130190.02: G4801130019021 1 4
48130136.01: G4801130013615 1 200
48050007.00: G48000500007 1 529
48130103.00: G48011300103 1 200
33150590.00: G33001500590 1 424
36610285.00: G36006100285 1 99
36610287.00: G36006100287 1 99
35010046.00: G3500010004602 1 200
48010318.00: G4802010031804 1 153
06250102.00: G06002500102 1 464
48990101.00: G48009900101 0 842
48010350.00: G4802010035003 1 289
48750113.00: G48037500113 1 341
24338004.00: G2400330800402 1 200
51872001.01: G5100870200117 1 200
26450017.00: G26014500017 1 301
39170121.00: G39001700121 1 464
48570509.00: G48025700509 0 842
48050003.00: G48000500003 0 842
48530024.01: G4804530002411 1 99
34311244.00: G3400310124402 1 99
53530615.00: G53005300615 1 99
35090002.00: G3500090000202 1 424
06552019.00: G06005502019 0 842
36050418.00: G36000500418 1 153
49539854.00: G49005309854 0 842
48291307.08: G4800290130785 1 424
34312568.00: G3400310256801 0 842
06855079.00: G0600850507905 1 2
34170181.00: G34001700181 1 325
35090002.00: G3500090000201 1 424
35090008.00: G35000900008 0 842
34170164.00: G34001700164 1 325
32030042.00: G32000300042 1 341
35519821.00: G35005109821 0 842
36650222.00: G36006500222 1 272
35430102.00: G35004300102 0 842
36810671.00: G3600810067102 1 240
48750130.00: G48037500130 1 341
49490101.00: G49004900101 1 581
42270118.00: G42002700118 0 842
48750115.00: G48037500115 1 341
48810216.00: G4803810021602 1 281
48130027.00: G4801130002701 1 424
49479883.00: G49004709883 0 842
48291209.00: G4800290120901 1 424
48810216.00: G4803810021604 1 281
32030045.00: G32000300045 1 341
32030034.00: G3200030003404 1 200
32030047.00: G3200030004705 1 341
24199706.00: G24001909706 1 464
48291815.00: G4800290181501 1 464
49279743.00: G49002709743 0 842
48390626.02: G4800390062622 1 372
48291806.00: G48002901806 1 464
48130093.00: G4801130009303 1 99
48450057.00: G48024500057 1 473
48130090.00: G4801130009002 1 200
48450068.00: G48024500068 1 424
36272209.00: G36002702209 1 372
36470213.00: G36004700213 1 424
36470165.00: G36004700165 1 99
36594132.00: G36005904132 1 464
49451307.00: G49004501307 0 842
49490104.00: G49004900104 0 842
36610261.00: G36006100261 1 153
48610135.00: G48006100135 0 842
49519926.09: G4900510992696 0 842
48850318.00: G4800850031802 1 99
48610138.00: G4800610013802 1 424
36190008.00: G3601190000803 1 240
48130136.00: G4801130013608 1 200
48390610.00: G48003900610 1 372
34410321.00: G3400410032102 0 842
36610253.00: G36006100253 1 153
48391131.00: G4804390113102 1 153
48010317.00: G4802010031704 1 153
27299602.00: G27002909602 0 842
49519925.00: G49005109925 0 842
48291911.00: G4800290191101 1 424
19799603.00: G19007909603 0 842
22379516.00: G22003709516 0 842
08379532.00: G08003709532 0 842
26635775.00: G26016305775 1 153
26635857.00: G26016305857 1 99
26635837.00: G26016305837 1 99
19530027.00: G19015300027 1 281
13510106.00: G1300510010604 1 372
26251839.00: G26012501839 1 473
25251003.00: G25002501003 1 301
19530046.00: G1901530004602 1 281
38010103.00: G38010100103 1 153
48391135.00: G4804390113506 1 153
48010203.00: G4802010020302 1 341
48291205.00: G4800290120502 1 424
48010356.00: G4802010035601 1 289
18890125.00: G18008900125 1 341
18670017.00: G18016700017 1 200
48010322.00: G4802010032202 1 289
17950004.00: G17019500004 0 842
12910217.00: G12009100217 1 153
48291212.00: G4800290121202 1 424
48010436.00: G4802010043602 1 200
48010356.00: G4802010035604 1 289
48010356.00: G4802010035602 1 289
06375330.00: G06003705330 1 200
48010318.00: G4802010031802 0 842
48010437.03: G4802010043732 1 200
48010356.00: G4802010035603 1 289
06590320.00: G0600590032002 1 2
06590320.01: G0600590032015 1 2
18890218.00: G18008900218 1 240
49219821.00: G49002109821 0 842
12990035.00: G1200990003501 1 247
49490102.09: G4900490010298 1 372
49490103.00: G4900490010302 0 842
18890128.00: G18008900128 1 341
48270221.00: G4800270022102 1 165
48270228.00: G4800270022801 1 200
26770033.00: G2600770003301 1 301
01730144.00: G0100730014405 1 424
22330042.00: G2200330004203 1 424
27630712.00: G2701630071204 1 325
48370105.00: G48003700105 1 424
08230004.00: G0801230000401 1 153
48010446.01: G4802010044612 1 2
49379784.00: G49003709784 0 842
48010421.00: G48020100421 0 842
42691011.00: G42006901011 1 281
48810210.00: G48038100210 1 281
48010440.00: G4802010044001 1 200
48010230.00: G4802010023004 1 247
18410102.00: G18014100102 1 99
48090106.00: G48040900106 1 99
48010321.00: G4802010032101 0 842
48450102.00: G48024500102 1 424
19530018.00: G19015300018 1 372
34350503.00: G34003500503 1 325
19530002.00: G1901530000202 1 372
48019505.00: G48040109505 0 842
48390906.02: G4803390090623 1 372
18039521.00: G18010309521 1 424
24010011.00: G24000100011 0 842
40790401.00: G4000790040102 0 842
48550054.00: G4803550005403 1 99
42031111.00: G42000301111 1 372
48539603.00: G48005309603 1 153
48610138.00: G4800610013801 0 842
48090007.00: G48030900007 1 200
48090008.00: G48030900008 1 200
48391065.01: G4804390106513 1 99
48550036.00: G4803550003601 1 200
48291102.00: G48002901102 1 424
48010425.00: G4802010042503 1 99
42010202.00: G42010100202 1 247
48130190.01: G4801130019015 0 842
42010093.00: G42010100093 1 272
48130111.00: G4801130011101 1 325
48450002.00: G48024500002 1 464
48010413.00: G4802010041303 1 99
21670003.00: G21006700003 1 99
48010350.00: G4802010035004 1 289
48291410.00: G48002901410 1 424
48291615.00: G4800290161501 1 424
48610131.00: G4800610013104 0 842
48291413.00: G48002901413 1 424
48610129.00: G48006100129 0 842
48130111.00: G4801130011104 1 325
48130167.00: G4801130016701 1 153
48130022.00: G4801130002201 1 281
48130069.00: G48011300069 1 99
05190042.00: G0501190004206 1 464
24338014.00: G2400330801401 1 99
18670010.00: G18006700010 1 424
48130049.00: G48011300049 1 2
08410031.00: G08004100031 1 325
36031466.01: G3601030146612 1 272
42239706.00: G42012309706 1 529
24317007.01: G2400310700710 1 4
36810171.00: G36008100171 1 240
49419755.00: G49004109755 0 842
48130086.00: G4801130008601 1 153
48010319.00: G4802010031902 1 99
48291701.00: G48002901701 1 424
36610002.00: G3600610000202 1 372
36610014.00: G3600610001401 1 372
31119598.00: G31011109598 0 842
19690004.00: G19016900004 1 464
36031586.00: G3601030158605 1 272
19079504.00: G19000709504 0 842
48270214.00: G48002700214 1 464
01890002.00: G0100890000202 1 281
06290031.01: G0600290003114 1 289
48010505.00: G4802010050501 1 153
25092141.00: G25000902141 1 247
06890128.09: G0600890012897 0 842
42010095.00: G42010100095 1 272
48291705.00: G48002901705 1 424
06590999.00: G0600590099904 1 0
25138018.00: G25001308018 0 842
17311903.00: G17003101903 1 341
47839687.00: G47018309687 0 842
12110414.00: G12001100414 1 582
37830518.00: G37018300518 1 153
39030106.00: G39000300106 0 842
48010506.00: G4802010050602 1 153
21110120.00: G2101110012001 1 424
48010513.00: G48020100513 1 153
42034802.00: G42000304802 1 153
48130087.00: G4801130008701 1 153
48130087.00: G4801130008704 1 153
06375518.00: G06003705518 0 842
24317037.00: G2400310703701 1 200
48150226.00: G48021500226 1 581
36050033.00: G36000500033 0 842
08050057.00: G08000500057 1 99
48010317.00: G4802010031703 1 153
42454027.00: G42004504027 1 529
42912014.01: G4200910201410 1 153
36810358.00: G36008100358 1 325
48391220.00: G48043901220 1 99
48391221.00: G48043901221 1 99
48230012.00: G48042300012 0 842
37010203.00: G37000100203 1 473
48391041.00: G48043901041 1 200
42912014.00: G4200910201404 1 153
48291707.00: G48002901707 1 424
34258100.00: G3400250810004 1 425
48130181.01: G4801130018119 1 153
49399722.00: G49003909722 0 842
06590753.00: G0600590075303 1 153
48291704.00: G48002901704 1 424
06590996.00: G0600590099602 1 0
48850310.00: G48008500310 1 425
06590891.00: G0600590089104 1 2
48270207.00: G4800270020701 1 99
48130190.01: G4801130019018 1 99
37190058.00: G3701190005803 1 281
48130192.00: G4801130019205 1 99
06014506.00: G0600010450605 1 372
06670089.00: G0600670008907 1 99
12250054.00: G1200250005401 1 272
48610130.00: G4800610013002 0 842
06650412.00: G06006500412 1 424
48130143.00: G4801130014306 1 165
48130108.00: G4801130010801 1 99
48130108.00: G4801130010802 1 99
17310628.00: G17003100628 1 153
47650109.00: G47006500109 1 464
42010094.00: G42010100094 1 272
48610106.00: G4800610010602 1 424
48979903.00: G48009709903 1 200
48130110.00: G4801130011001 1 99
48610104.00: G4800610010401 1 424
48130169.00: G4801130016901 1 153
48130107.00: G4801130010702 1 99
48130159.00: G48011300159 1 99
48130158.00: G48011300158 1 99
48130164.00: G4801130016402 1 99
48130087.00: G4801130008703 1 153
29759903.00: G29017509903 1 272
48130165.01: G4801130016512 1 633
48850316.00: G4800850031605 1 200
06014362.00: G06000104362 1 372
48010442.00: G4802010044202 1 99
48850316.01: G4800850031615 1 200
04134222.00: G0400130422205 1 153
06650418.00: G0600650041802 1 464
18190506.00: G1800190050603 1 473
48391113.00: G4804390111304 1 325
48010442.00: G4802010044204 1 99
48030021.00: G4803030002102 1 325
48270226.00: G48002700226 1 200
48030019.00: G4803030001904 1 2
49490106.00: G49004900106 0 842
48291603.00: G48002901603 1 424
37510009.00: G37005100009 1 473
06770051.01: G0600770005111 1 473
48030105.00: G4803030010506 1 325
48550025.00: G48035500025 1 99
48550018.00: G4803550001802 1 99
48030003.00: G4803030000302 1 2
48050011.00: G48000500011 0 842
06670067.00: G0600670006701 0 842
06670076.00: G0600670007601 1 153
48410016.00: G4800410001601 1 99
06670079.00: G0600670007901 1 99
09010612.00: G09000100612 1 99
48850309.00: G48008500309 1 247
09010732.00: G09000100732 1 165
48090015.00: G48030900015 1 200
48090003.00: G48030900003 1 200
48750118.00: G48037500118 1 281
36290147.00: G3600290014702 1 529
48750110.00: G48037500110 1 341
48750119.00: G48037500119 1 281
48750109.00: G48037500109 1 341
48090001.00: G48030900001 1 200
13479605.00: G13014709605 0 842
01719506.00: G01007109506 0 842
48391115.01: G4804390111514 1 99
17259563.00: G17012509563 0 842
24037312.00: G2400030731203 1 372
48391115.02: G4804390111523 0 842
48450024.00: G48024500024 1 341
33059716.00: G33000509716 0 842
48391019.00: G48043901019 1 200
48391052.00: G4804390105201 1 99
01690409.00: G01006900409 1 581
45190027.00: G4500190002702 1 99
24037502.00: G2400030750201 0 842
36190084.00: G3601190008403 1 464
36470247.00: G36004700247 1 424
48239501.00: G48002309501 0 842
48010207.00: G4802010020703 1 372
09012112.00: G09000102112 1 153
09012111.00: G09000102111 1 153
48390902.01: G4803390090213 1 165
48010530.00: G4802010053001 1 633
48230010.00: G48042300010 0 842
48291407.00: G48002901407 1 424
48291608.00: G48002901608 1 424
48291617.00: G48002901617 1 424
48291409.00: G48002901409 1 424
48130076.00: G4801130007601 1 153
48130076.00: G4801130007604 1 99
48130096.00: G4801130009609 1 424
48130135.00: G48011300135 1 200
48291408.00: G48002901408 1 424
40439592.00: G40004309592 0 842
21670034.00: G2100670003405 1 581
48130131.00: G4801130013102 1 99
48130181.00: G4801130018105 1 99
48130188.00: G4801130018801 1 99
48130096.00: G4801130009604 1 200
06590992.01: G0600590099217 1 424
24054032.00: G2400050403202 1 424
48610139.00: G4800610013903 1 424
48010404.00: G4802010040401 1 4
26750068.00: G26007500068 1 424
06816016.00: G0600810601601 1 99
42034741.00: G4200030474102 1 153
34230051.00: G34002300051 1 325
36050194.00: G36000500194 1 424
06670072.00: G0600670007204 1 200
48990106.00: G4800990010601 1 325
17919549.00: G17019109549 0 842
48270222.00: G48002700222 1 165
42171006.00: G42001701006 1 325
55090102.00: G5500090010202 1 424
48291510.00: G48002901510 1 424
48291615.00: G4800290161502 1 424
48291411.00: G48002901411 1 424
48210211.00: G48012100211 1 200
48150239.00: G4802150023901 1 424
26635767.00: G26016305767 1 99
26635839.00: G26016305839 1 99
13510042.00: G1300510004206 1 281
48270221.00: G4800270022101 1 200
48130192.00: G4801130019203 1 99
48130192.00: G4801130019202 1 99
19130012.00: G19001300012 1 325
06374056.00: G06003704056 1 529
48130136.01: G4801130013614 1 200
48130145.00: G48011300145 1 200
48350024.00: G48013500024 1 425
48291105.00: G48002901105 1 424
48291314.00: G48002901314 1 424
48291104.00: G48002901104 1 424
48350004.00: G48013500004 1 425
48410001.00: G4801410000108 1 99
48130006.00: G4801130000603 1 99
48410001.00: G4801410000102 1 99
48390906.03: G4803390090631 1 372
48390906.00: G4803390090602 1 372
19130013.00: G1900130001302 1 685
48130190.02: G4801130019023 0 842
48130130.00: G4801130013005 1 153
48130130.00: G4801130013009 1 153
48850312.00: G48008500312 0 842
42691004.00: G42006901004 1 281
34076083.00: G3400070608302 0 842
55010027.00: G55010100027 0 842
06375750.00: G0600370575002 1 372
48291311.00: G48002901311 1 424
36810981.00: G36008100981 1 272
18179518.00: G18001709518 0 842
48850316.00: G4800850031603 1 200
27370608.00: G2700370060804 1 289
48291215.00: G4800290121501 1 424
06971534.00: G0600970153402 1 529
48130179.00: G48011300179 1 240
48130178.00: G4801130017808 1 153
48130039.00: G4801130003901 1 424
48130091.00: G4801130009101 1 200
48130047.00: G48011300047 1 2
48130046.00: G48011300046 1 2
48130155.00: G48011300155 1 99
48130050.00: G48011300050 1 2
48130052.00: G48011300052 1 2
48130120.00: G48011300120 1 200
48130093.00: G4801130009301 1 99
48130102.00: G48011300102 1 200
13319504.00: G13013109504 0 842
39517121.00: G3901510712101 1 200
48130165.01: G4801130016511 1 289
48130165.01: G4801130016513 1 633
24054208.00: G24000504208 1 424
05119504.00: G05001109504 0 842
48410002.00: G4801410000204 1 200
48130078.01: G4801130007810 1 99
48130096.00: G4801130009606 1 424
48410006.00: G4800410000603 1 99
48410013.00: G48004100013 1 99
48391308.09: G4800390130898 0 842
21270111.00: G21022700111 1 247
48990105.00: G48009900105 1 240
48410011.00: G48004100011 0 842
48291415.00: G48002901415 1 473
48130130.00: G4801130013004 1 153
42710145.00: G4200710014502 0 842
48610140.00: G4800610014002 0 842
48390625.00: G4800390062502 1 372
48010329.00: G4802010032901 1 153
48990104.00: G48009900104 1 424
42010029.00: G42010100029 1 737
48499504.00: G48044909504 0 842
17790216.00: G1701790021606 0 842
42454044.00: G42004504044 1 529
48010213.00: G4802010021301 1 341
48291509.00: G48002901509 1 424
25173354.00: G25001703354 1 2
39034120.00: G39010304120 0 842
48291719.00: G4800290171903 1 424
39351751.00: G3900350175104 1 99
18973604.00: G1800970360405 1 247
17950003.00: G17019500003 0 842
48130185.00: G4801130018503 1 99
48010348.00: G4802010034801 1 289
06250108.00: G06002500108 0 842
24317037.00: G2400310703702 1 200
12990074.00: G1200990007404 1 200
26635777.00: G26016305777 1 153
19130013.00: G1900130001301 1 685
08459521.00: G08004509521 0 842
26251752.00: G26012501752 1 240
48130137.00: G4801130013707 1 99
48130136.01: G4801130013619 1 424
42171016.01: G4200170101610 1 372
48130136.01: G4801130013612 1 424
48130136.00: G4801130013606 1 200
48130136.00: G4801130013607 1 200
48850316.00: G4800850031609 1 2
48610131.00: G4800610013105 0 842
48899504.00: G48038909504 0 842
48291602.00: G48002901602 1 424
54810102.00: G54008100102 1 473
48291606.00: G48002901606 1 424
34390358.00: G34003900358 1 325
26635843.00: G26016305843 1 99
36593014.00: G36005903014 1 272
48130184.00: G4801130018403 1 372
19550311.00: G19015500311 1 529
06670079.00: G0600670007903 1 99
19630111.00: G19016300111 0 842
48390625.02: G4800390062521 1 372
47999603.00: G47009909603 0 842
06014330.00: G06000104330 1 372
36031581.00: G3601030158104 1 289
13210069.00: G13012100069 1 529
06770011.00: G0600770001101 1 99
17318235.00: G17003108235 1 530
06730136.00: G0600730013604 1 341
17938905.00: G17009308905 1 633
12170215.00: G1201170021503 1 200
17150013.00: G17011500013 1 529
17311709.00: G17003101709 1 99
17150009.00: G17011500009 1 529
48291810.00: G4800290181003 1 424
48291914.00: G4800290191403 1 424
04134221.00: G0400130422106 1 165
48130187.00: G48011300187 1 99
48510011.00: G4804510001101 1 153
04131042.01: G0400130104218 1 99
48410026.00: G48014100026 1 200
48410004.00: G4801410000402 1 200
48410003.00: G4801410000301 1 200
48410003.00: G4801410000302 1 200
48410025.00: G48014100025 1 200
48410024.00: G48014100024 1 200
48130013.00: G4801130001301 1 281
48130195.00: G4801130019502 1 99
26635803.00: G26016305803 1 240
48210215.00: G4801210021504 1 581
26635842.00: G26016305842 1 99
26635815.00: G26016305815 1 240
26635804.00: G26016305804 1 240
26635427.00: G26016305427 1 99
26635428.00: G26016305428 1 99
26635679.00: G26016305679 1 99
26635183.00: G26016305183 1 240
48291810.00: G4800290181004 1 464
26635045.00: G26016305045 0 842
06770052.00: G0600770005204 1 99
48130040.00: G48011300040 1 424
19130014.00: G19011300014 1 240
48291814.00: G4800290181402 1 464
06770049.00: G0600770004901 0 842
27030502.00: G2700030050206 1 153
06372015.00: G0600370201501 1 341
06816035.00: G06008106035 1 99
48130148.00: G4801130014802 1 325
12110021.00: G1201110002102 1 200
04131042.01: G0400130104219 1 99
04130719.00: G0400130071903 1 99
48130012.00: G4801130001201 1 281
48130013.00: G4801130001302 1 281
36470572.00: G36004700572 1 325
48130166.00: G4801130016607 1 633
48130183.00: G48011300183 1 372
06730116.00: G06007300116 1 341
12110015.00: G1201110001501 1 200
48130111.00: G4801130011105 1 325
17310631.00: G17003100631 1 153
36810368.00: G36008100368 1 325
48130094.00: G4801130009402 1 153
12270830.00: G1201270083001 1 464
24037310.00: G2400030731003 1 424
48010330.00: G4802010033002 1 153
05399503.00: G05013909503 0 842
48130094.00: G4801130009401 1 153
06730209.00: G0600730020902 0 842
19610001.00: G19006100001 1 685
48550013.00: G48035500013 1 281
35050001.00: G35000500001 1 372
36610142.00: G36006100142 0 842
06730153.00: G0600730015301 1 153
35050011.00: G35000500011 0 842
17314312.00: G17003104312 1 99
53630118.00: G53006300118 1 325
51594618.00: G51005904618 1 99
06375026.00: G0600370502602 1 372
36810707.00: G36008100707 1 325
48550016.00: G4803550001601 0 842
06670042.00: G0600670004201 0 842
06670051.00: G0600670005101 1 240
36470452.00: G36004700452 1 325
36470052.00: G3600470005202 1 99
09010802.00: G09000100802 1 165
08590117.01: G0800590011711 1 153
06670050.00: G0600670005002 1 240
12810007.00: G1200810000701 1 240
48291515.00: G48002901515 1 424
48291514.00: G48002901514 1 424
12810001.00: G1200810000102 1 240
01150005.00: G01001500005 1 424
12090667.00: G12000900667 1 200
26635667.00: G26016305667 1 99
26635649.00: G26016305649 1 240
33130330.00: G33001300330 1 99
39650319.00: G3901650031903 1 153
48391038.00: G48043901038 1 247
36610217.00: G3600610021701 1 464
12110426.00: G12001100426 1 582
36610213.00: G3600610021301 1 464
48450007.00: G48024500007 1 464
06830010.00: G06008300010 1 153
12110609.00: G12001100609 1 582
12110429.00: G12001100429 1 582
18890132.00: G18008900132 1 325
48530024.01: G4804530002410 1 200
48530024.00: G4804530002409 1 200
48319606.00: G48023109606 0 842
06730101.00: G0600730010104 1 165
06750177.00: G06007500177 1 0
06750178.00: G06007500178 1 2
06730103.00: G06007300103 1 165
06750165.00: G06007500165 1 99
48450012.00: G48024500012 1 341
48639808.00: G48036309808 1 581
36050316.00: G36000500316 1 464
36050253.00: G36000500253 1 99
36050320.00: G36000500320 1 464
35430107.00: G3500430010707 1 281
48410034.00: G4801410003403 1 341
36050237.00: G3600050023701 1 464
36595189.00: G36005905189 1 424
48130071.00: G4801130007102 1 153
48130006.00: G4801130000601 1 99
36419501.00: G36004109501 0 842
04130303.02: G0400130030322 1 99
48410006.00: G4800410000601 1 99
06730031.00: G0600730003101 1 240
06730035.00: G06007300035 1 240
48130041.00: G48011300041 1 99
48130088.00: G4801130008801 1 153
06770011.00: G0600770001102 1 247
06770012.00: G06007700012 0 842
36031121.00: G3601030112104 1 424
48410010.00: G48004100010 0 842
06670033.00: G06006700033 0 842
37810168.00: G37008100168 1 529
48130051.00: G48011300051 1 2
48291211.00: G4800290121106 1 424
48291218.00: G4800290121801 1 424
48010239.01: G4802010023910 1 633
36031115.00: G3601030111506 1 99
48010314.00: G4802010031402 0 842
22030407.00: G2201030040701 1 372
48010204.00: G48020100204 1 341
06730014.00: G06007300014 1 165
17318157.00: G1700310815702 1 325
48770302.00: G48007700302 0 842
48010509.00: G4802010050902 1 372
48130190.01: G4801130019014 1 99
48130190.02: G4801130019024 0 842
06670068.00: G06006700068 1 153
48130072.00: G4801130007201 1 153
48291211.00: G4800290121103 1 424
48130190.02: G4801130019020 1 4
55314401.00: G5501310440101 0 842
48130081.00: G48011300081 1 99
17318175.00: G17003108175 1 325
48130001.00: G48011300001 1 99
06730009.00: G06007300009 1 165
48130078.01: G4801130007816 1 99
48291914.00: G4800290191402 1 424
48130019.00: G48011300019 1 99
06730066.00: G06007300066 1 153
06710034.00: G06007100034 1 424
06730087.00: G0600730008701 1 200
18270508.00: G18012700508 1 372
48291211.00: G4800290121108 1 424
18030110.00: G18000300110 0 842
27390806.00: G27013900806 1 464
36593012.00: G36005903012 1 272
48291218.00: G4800290121805 1 424
48410014.00: G48004100014 1 99
48130133.00: G48011300133 1 200
48130141.01: G4801130014115 1 165
48130079.00: G4801130007908 1 99
48130177.00: G4801130017701 1 200
48130079.00: G4801130007903 1 99
48130138.00: G4801130013801 1 153
48999503.00: G48049909503 0 842
48130015.00: G4801130001502 1 281
48130141.01: G4801130014113 1 165
48830001.00: G48018300001 1 325
48010438.01: G4802010043812 1 2
48850314.00: G4800850031401 1 301
48130031.00: G4801130003102 1 281
48290009.00: G48032900009 0 842
48639804.00: G48036309804 1 581
48010401.00: G4802010040102 1 153
48010438.04: G4802010043842 1 2
48010400.02: G4802010040026 1 424
48010422.00: G4802010042202 0 842
28399504.00: G28013909504 0 842
48130181.00: G4801130018106 1 99
48130014.00: G48011300014 1 281
42010366.00: G42010100366 1 200
12030253.00: G1201030025303 1 99
12850014.00: G1200850001401 1 424
48290013.00: G48032900013 1 153
48130073.00: G4801130007302 1 153
42950174.00: G4200950017401 1 529
06371218.00: G06003701218 1 200
48830013.00: G48018300013 1 325
48830012.00: G48018300012 1 325
06373102.00: G06003703102 1 153
05079802.00: G05010709802 0 842
06371221.00: G06003701221 1 200
22170205.00: G22001700205 1 99
28470033.00: G2800470003302 1 325
04019777.00: G04000109777 0 842
17317103.00: G17003107103 0 842
42179905.00: G42011709905 0 842
48030006.00: G4803030000606 1 99
48290101.00: G4803290010108 0 842
48290101.00: G4803290010107 1 153
06855128.09: G0600850512896 1 99
06855137.09: G0600850513798 1 99
12990072.00: G1200990007202 1 200
12990075.00: G1200990007501 1 200
17430005.00: G17014300005 1 200
17314309.00: G17003104309 1 99
17318253.00: G1700310825301 1 281
17430015.00: G17014300015 1 200
08590120.02: G0800590012023 1 2
22330039.00: G2200330003904 1 240
48530023.00: G4804530002307 1 99
48010333.00: G48020100333 1 281
48370117.00: G48003700117 0 842
48010425.00: G4802010042504 1 99
48530023.00: G4804530002306 1 99
48291205.00: G4800290120501 1 424
48291315.00: G4800290131502 1 424
48010438.02: G4802010043825 1 2
48130136.00: G4801130013605 1 200
48010438.01: G4802010043815 1 2
48010411.00: G48020100411 1 99
48130157.00: G48011300157 1 99
48130143.00: G4801130014303 1 633
48030010.00: G48030300010 1 99
49351130.00: G4900350113006 1 633
36593032.00: G3600590303202 1 99
48010316.00: G4802010031601 1 4
48391115.01: G4804390111517 1 99
36610192.00: G36006100192 1 372
01690417.00: G01006900417 0 842
33110004.00: G33001100004 1 165
48450104.00: G48024500104 1 424
06376003.00: G0600370600302 1 99
40091088.00: G4001090108802 0 842
08410066.00: G08004100066 1 200
08050070.04: G0800050007045 0 842
04050011.00: G04000500011 1 464
26635763.00: G26016305763 1 153
47870508.00: G47018700508 1 240
27530233.00: G27005300233 1 153
48279502.00: G48042709502 0 842
06290028.00: G0600290002805 1 301
48010423.00: G4802010042306 1 99
27230307.00: G2701230030704 1 325
06971510.00: G06009701510 1 372
48010430.00: G4802010043002 1 281
12879724.00: G12008709724 1 200
26251613.00: G26012501613 1 99
12270824.00: G1201270082408 0 842
53670102.00: G53006700102 1 581
28259501.00: G28012509501 1 325
28779601.00: G28007709601 0 842
34350521.00: G34003500521 1 424
17910116.00: G17009100116 1 153
49351105.00: G49003501105 1 301
08310119.09: G0800310011995 1 424
08310119.09: G0800310011992 1 424
08310120.09: G0800310012097 1 424
